Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.8974822148336645,0.4114081996434938,0.05347544022242817,0.09464834939511996,0.6434299246207852
Random Forest,0.4210580084328622,0.1365065933291023,0.8970342910101946,0.23695452598078218,0.7375847254241996
LightGBM,0.9013085796013893,0.6023794614902943,0.04457831325301205,0.0830133321827674,0.7165174952779776
