Top比例,触达样本数,实际核销数,实际核销率,Lift,核销用户捕获率
Top 10%,21534,5445,0.2528559487322374,2.5232633386278898,0.2523169601482855
Top 20%,43069,8901,0.20666836936079314,2.062354958531422,0.4124652455977757
Top 30%,64604,11954,0.18503498235403382,1.8464742066717552,0.5539388322520853
